title,release_year,rating,runtime,summary,popularity,total_reviewers,user_reviews,critic_reviews
The Shawshank Redemption,1994,9.2,2h 22m,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",88,2.7M,10.4K,166
The Godfather,1972,9.2,2h 55m,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,78,1.8M,5.1K,191
The Dark Knight,2008,9.0,2h 32m,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",135,2.6M,8.3K,442
The Godfather Part II,1974,9.0,3h 22m,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",371,1.3M,1.3K,133
12 Angry Men,1957,9.0,1h 36m,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,443,783K,2K,153
Schindler's List,1993,8.9,3h 15m,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",299,1.3M,2.1K,175
The Lord of the Rings: The Return of the King,2003,8.9,3h 21m,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,133,1.8M,4.1K,343
Pulp Fiction,1994,8.8,2h 34m,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",140,2M,3.5K,298
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,2h 58m,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,48,1.9M,5.6K,218
"Il buono, il brutto, il cattivo",1966,8.8,2h 41m,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,624,757K,1.3K,157
Forrest Gump,1994,8.8,2h 22m,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire ... Read all",171,2.1M,3K,176
Fight Club,1999,8.7,2h 19m,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,146,2.1M,4.3K,373
Inception,2010,8.7,2h 28m,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro... Read all",182,2.3M,4.6K,479
The Lord of the Rings: The Two Towers,2002,8.7,2h 59m,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",204,1.7M,2.7K,318
The Empire Strikes Back,1980,8.7,G2h 4m,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader ... Read all",944,1.3M,1.4K,242
The Matrix,1999,8.7,2h 16m,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",318,1.9M,4.8K,254
Goodfellas,1990,8.7,2h 25m,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate... Read all",294,1.1M,1.5K,163
One Flew Over the Cuckoo's Nest,1975,8.6,2h 13m,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",306,1M,1.1K,185
Se7en,1995,8.6,R2h 7m,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",209,1.6M,1.8K,180
Shichinin no samurai,1954,8.6,3h 27m,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him. As the samurai teach the peasants how to defend themselves, the ... Read all","1,804",345K,810,130
It's a Wonderful Life,1946,8.6,2h 10m,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"1,394",453K,1.1K,196
The Silence of the Lambs,1991,8.6,1h 58m,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",141,1.4M,1.5K,250
Cidade de Deus,2002,8.6,2h 10m,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",609,753K,1.1K,215
Saving Private Ryan,1998,8.6,2h 49m,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",454,1.4M,2.8K,163
La vita è bella,1997,8.6,1h 56m,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp... Read all",731,690K,1.4K,156
Interstellar,2014,8.6,2h 49m,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,131,1.8M,5.1K,635
The Green Mile,1999,8.6,53h 9m,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",380,1.3M,2K,212
Star Wars,1977,8.6,G2h 1m,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ... Read all",301,1.4M,2K,215
Terminator 2: Judgment Day,1991,8.5,2h 17m,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",660,1.1M,1.4K,310
Back to the Future,1985,8.5,1h 56m,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",101,1.2M,1.4K,264
Sen to Chihiro no kamikakushi,2001,8.5,G2h 5m,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",572,755K,1.6K,218
Psycho,1960,8.5,1h 49m,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",320,668K,1.5K,254
The Pianist,2002,8.5,2h 30m,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,794,825K,1K,142
Gisaengchung,2019,8.5,2h 12m,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,199,784K,3.5K,607
Léon,1994,8.5,1h 50m,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin... Read all",255,1.2M,1.4K,157
The Lion King,1994,8.5,1h 28m,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",536,1M,1.1K,229
Gladiator,2000,8.5,2h 35m,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,232,1.5M,2.9K,222
American History X,1998,8.5,1h 59m,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,697,1.1M,1.6K,126
The Departed,2006,8.5,2h 31m,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,321,1.3M,2.5K,297
The Usual Suspects,1995,8.5,1h 46m,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",516,1.1M,1.4K,151
The Prestige,2006,8.5,2h 10m,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",284,1.3M,1.6K,368
Whiplash,2014,8.5,1h 46m,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,194,846K,1.5K,592
Casablanca,1942,8.5,1h 42m,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"1,046",569K,1.4K,217
The Intouchables,2011,8.5,1h 52m,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",897,850K,806,326
Seppuku,1962,8.5,2h 13m,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ... Read all","3,599",57K,294,81
Hotaru no haka,1988,8.5,1h 29m,A young boy and his little sister struggle to survive in Japan during World War II.,"1,746",275K,934,139
Modern Times,1936,8.4,1h 27m,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,,242K,347,126
Once Upon a Time in the West,1968,8.4,2h 45m,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"1,547",328K,817,148
Rear Window,1954,8.4,1h 52m,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism o... Read all","1,403",490K,978,182
Alien,1979,8.4,1h 57m,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,233,875K,1.7K,302
City Lights,1931,8.4,1h 27m,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",,185K,343,129
Nuovo Cinema Paradiso,1988,8.4,2h 35m,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"2,163",260K,595,121
Apocalypse Now,1979,8.4,2h 27m,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,396,664K,1.3K,302
Memento,2000,8.4,1h 53m,A man with short-term memory loss attempts to track down his wife's murderer.,552,1.2M,2.4K,231
Raiders of the Lost Ark,1981,8.4,1h 55m,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.",599,960K,1K,278
Django Unchained,2012,8.4,2h 45m,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",345,1.5M,1.8K,659
WALL·E,2008,8.4,1h 38m,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","1,194",1.1M,1.4K,275
The Lives of Others,2006,8.4,2h 17m,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","1,397",389K,565,222
Sunset Blvd.,1950,8.4,1h 50m,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"2,907",222K,688,197
Paths of Glory,1957,8.4,1h 28m,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","4,007",197K,495,175
The Shining,1980,8.4,2h 26m,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",137,1M,2.1K,360
The Great Dictator,1940,8.4,G2h 5m,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"4,585",224K,319,124
Witness for the Prosecution,1957,8.4,1h 56m,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"4,054",125K,332,95
Avengers: Infinity War,2018,8.4,2h 29m,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,377,1.1M,4.5K,629
Aliens,1986,8.3,2h 17m,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen... Read all",398,714K,1.4K,212
